Timestamp,Sensor Data,Value,Node
2026-04-09 02:04:05,battery_voltage (V),4.12,W096
2026-04-09 02:33:56,battery_voltage (V),4.11,W096
2026-04-09 03:03:58,battery_voltage (V),4.11,W096
2026-04-09 03:34:03,battery_voltage (V),4.11,W096
2026-04-09 04:03:58,battery_voltage (V),4.11,W096
2026-04-09 04:33:56,battery_voltage (V),4.1,W096
2026-04-09 05:04:01,battery_voltage (V),4.1,W096
2026-04-09 05:34:02,battery_voltage (V),4.09,W096
2026-04-09 06:03:55,battery_voltage (V),4.09,W096
2026-04-09 06:33:56,battery_voltage (V),4.09,W096
2026-04-09 07:03:59,battery_voltage (V),4.08,W096
2026-04-09 07:34:02,battery_voltage (V),4.08,W096
2026-04-09 08:04:03,battery_voltage (V),4.1,W096
2026-04-09 08:33:58,battery_voltage (V),4.12,W096
2026-04-09 09:04:01,battery_voltage (V),4.14,W096
2026-04-09 09:33:55,battery_voltage (V),4.16,W096
2026-04-09 10:03:55,battery_voltage (V),4.17,W096
2026-04-09 10:33:57,battery_voltage (V),4.19,W096
2026-04-09 11:33:58,battery_voltage (V),4.16,W096
2026-04-09 12:04:03,battery_voltage (V),4.16,W096
2026-04-09 12:33:56,battery_voltage (V),4.16,W096
2026-04-09 13:04:03,battery_voltage (V),4.16,W096
2026-04-09 13:33:59,battery_voltage (V),4.16,W096
2026-04-09 14:04:05,battery_voltage (V),4.15,W096
2026-04-09 14:34:02,battery_voltage (V),4.15,W096
2026-04-09 15:04:06,battery_voltage (V),4.17,W096
2026-04-09 15:33:56,battery_voltage (V),4.17,W096
2026-04-09 16:03:59,battery_voltage (V),4.17,W096
2026-04-09 16:34:02,battery_voltage (V),4.16,W096
2026-04-09 17:04:00,battery_voltage (V),4.16,W096
2026-04-09 17:33:58,battery_voltage (V),4.16,W096
2026-04-09 18:04:05,battery_voltage (V),4.16,W096
2026-04-09 18:34:03,battery_voltage (V),4.15,W096
2026-04-09 19:34:00,battery_voltage (V),4.14,W096
2026-04-09 21:04:04,battery_voltage (V),4.14,W096
2026-04-09 21:33:57,battery_voltage (V),4.13,W096
2026-04-09 22:04:02,battery_voltage (V),4.13,W096
2026-04-09 23:04:01,battery_voltage (V),4.13,W096
2026-04-09 23:33:59,battery_voltage (V),4.12,W096
2026-04-10 00:03:55,battery_voltage (V),4.12,W096
2026-04-10 00:34:01,battery_voltage (V),4.12,W096
2026-04-10 01:04:01,battery_voltage (V),4.12,W096
2026-04-10 01:34:00,battery_voltage (V),4.11,W096
2026-04-10 02:34:04,battery_voltage (V),4.11,W096
2026-04-10 03:04:03,battery_voltage (V),4.1,W096
2026-04-10 03:34:03,battery_voltage (V),4.1,W096
2026-04-10 04:34:01,battery_voltage (V),4.09,W096
2026-04-10 05:04:00,battery_voltage (V),4.09,W096
2026-04-10 05:33:59,battery_voltage (V),4.08,W096
2026-04-10 06:04:02,battery_voltage (V),4.08,W096
2026-04-10 06:33:58,battery_voltage (V),4.08,W096
2026-04-10 07:04:00,battery_voltage (V),4.07,W096
2026-04-10 08:33:55,battery_voltage (V),4.06,W096
2026-04-10 09:04:01,battery_voltage (V),4.07,W096
2026-04-10 09:33:59,battery_voltage (V),4.08,W096
2026-04-10 10:04:01,battery_voltage (V),4.08,W096
2026-04-10 10:34:00,battery_voltage (V),4.13,W096
2026-04-10 11:04:03,battery_voltage (V),4.16,W096
2026-04-10 11:34:04,battery_voltage (V),4.17,W096
2026-04-10 12:04:04,battery_voltage (V),4.19,W096
2026-04-10 12:33:55,battery_voltage (V),4.16,W096
2026-04-10 13:04:04,battery_voltage (V),4.16,W096
2026-04-10 13:34:00,battery_voltage (V),4.16,W096
2026-04-10 14:04:05,battery_voltage (V),4.16,W096
2026-04-10 14:33:56,battery_voltage (V),4.16,W096
2026-04-10 15:03:57,battery_voltage (V),4.16,W096
2026-04-10 15:34:00,battery_voltage (V),4.15,W096
2026-04-10 16:03:58,battery_voltage (V),4.15,W096
2026-04-10 16:34:02,battery_voltage (V),4.15,W096
2026-04-10 17:04:02,battery_voltage (V),4.15,W096
2026-04-10 17:33:59,battery_voltage (V),4.15,W096
2026-04-10 18:04:00,battery_voltage (V),4.16,W096
2026-04-10 18:33:57,battery_voltage (V),4.15,W096
2026-04-10 19:03:58,battery_voltage (V),4.15,W096
2026-04-10 19:34:02,battery_voltage (V),4.14,W096
2026-04-10 20:03:54,battery_voltage (V),4.14,W096
2026-04-10 20:33:58,battery_voltage (V),4.14,W096
2026-04-10 21:04:00,battery_voltage (V),4.13,W096
2026-04-10 21:34:05,battery_voltage (V),4.13,W096
2026-04-10 22:03:56,battery_voltage (V),4.13,W096
2026-04-10 22:33:58,battery_voltage (V),4.13,W096
2026-04-10 23:34:03,battery_voltage (V),4.12,W096
2026-04-11 00:04:00,battery_voltage (V),4.12,W096
2026-04-11 00:34:01,battery_voltage (V),4.12,W096
2026-04-11 01:03:58,battery_voltage (V),4.12,W096
2026-04-11 01:33:58,battery_voltage (V),4.11,W096
2026-04-11 02:03:59,battery_voltage (V),4.11,W096
2026-04-11 02:33:58,battery_voltage (V),4.11,W096
2026-04-11 03:04:01,battery_voltage (V),4.11,W096
2026-04-11 03:34:03,battery_voltage (V),4.1,W096
2026-04-11 04:04:03,battery_voltage (V),4.1,W096
2026-04-11 04:33:54,battery_voltage (V),4.09,W096
2026-04-11 05:04:01,battery_voltage (V),4.09,W096
2026-04-11 05:33:56,battery_voltage (V),4.09,W096
2026-04-11 06:03:57,battery_voltage (V),4.08,W096
2026-04-11 06:33:57,battery_voltage (V),4.08,W096
2026-04-11 07:04:02,battery_voltage (V),4.08,W096
2026-04-11 07:33:57,battery_voltage (V),4.09,W096
2026-04-11 08:04:04,battery_voltage (V),4.11,W096
2026-04-11 08:33:57,battery_voltage (V),4.14,W096
2026-04-11 09:04:05,battery_voltage (V),4.15,W096
2026-04-11 09:33:59,battery_voltage (V),4.17,W096
2026-04-11 10:04:02,battery_voltage (V),4.14,W096
2026-04-11 10:33:59,battery_voltage (V),4.19,W096
2026-04-11 11:03:59,battery_voltage (V),4.16,W096
2026-04-11 11:33:54,battery_voltage (V),4.16,W096
2026-04-11 12:03:58,battery_voltage (V),4.16,W096
2026-04-11 12:33:56,battery_voltage (V),4.17,W096
2026-04-11 13:03:56,battery_voltage (V),4.16,W096
2026-04-11 13:33:55,battery_voltage (V),4.17,W096
2026-04-11 14:04:06,battery_voltage (V),4.16,W096
2026-04-11 14:34:01,battery_voltage (V),4.16,W096
2026-04-11 15:03:58,battery_voltage (V),4.17,W096
2026-04-11 15:34:02,battery_voltage (V),4.16,W096
2026-04-11 16:04:00,battery_voltage (V),4.16,W096
2026-04-11 16:34:00,battery_voltage (V),4.17,W096
2026-04-11 17:03:57,battery_voltage (V),4.17,W096
2026-04-11 17:33:59,battery_voltage (V),4.17,W096
2026-04-11 18:03:56,battery_voltage (V),4.16,W096
2026-04-11 18:33:57,battery_voltage (V),4.16,W096
2026-04-11 19:04:00,battery_voltage (V),4.15,W096
2026-04-11 19:33:59,battery_voltage (V),4.15,W096
